013020130201302 201                                                                                1123051999118105   211931    010111420 910
013020130201302 202                                                                                1119062001116104   212181    010111420 910
013020130201302 203                                                                                1219042004114103   212521    010111420 910
013130131301302 201                                                                                1124071988129104   210631    010111420 837
013130131301302 202                                                                                1125061989128103   210741    010111420 837
013110131101301 101                                                                                1214062004113102   212541    010111420 876
013050130501402 201                                                                                1115022002116103   212261    010111420 949
013050130501402 202                                                                                1127032006112104   212751    010111420 949
013050130501402 203                                                                                1206032016102105   213951    010111420 949
014160141602002 201                                                                                1105072015102103   213871    0201114191139
014160141602002 202                                                                                1222122017100104   214161    0201114191139
014130141302102 201                                                                                11090920042     30121257101260201114191036
014130141302102 202                                                                                1129012007111103   212851    0201114191036
014130141302102 203                                                                                2129032010107105   213231    0201114191036
014130141302102 204                                                                                2129032010107104   213231    0201114191036
014030140302202 201                                                                                1214042012105105   213481    020111419 995
014030140302202 202                                                                                1105072014103104   213751    020111419 995
014030140302202 203                                                                                1105082015102103   213881    020111419 995
014020140202202 201                                                                                1126122008109106   213081    020111419 871
014020140202202 202                                                                                1217092010107105   213291    020111419 871
014020140202202 203                                                                                1203022014104104   213701    020111419 871
014180141802202 201                                                                                1113072005112105   212671    020111419 899
014180141802202 202                                                                                1229092007110104   212931    020111419 899
014180141802202 203                                                                                1210052013104103   213611    020111419 899
014050140502202 201                                                                                1125032009109104   213111    020111419 975
014050140502202 202                                                                                1126012013105103   213571    020111419 975
014010140102202 201                                                                                1125091989128105   210771    020111419 837
014010140102202 202                                                                                1227041994123104   211321    020111419 837
014010140102202 203                                                                                1201111997120103   211751    020111419 837
014090140902302 201                                                                                1128081999118105   211961    020111419 891
014090140902302 202                                                                                1221122001116104   212241    020111419 891
014090140902302 203                                                                                1118022013105103   213581    020111419 891
015110151102002 201                                                                                1227112013104103   213671    020111419 978
015110151102002 202                                                                                1125122016101104   214041    020111419 978
015030150302102 201                                                                                1214062012105104   213501    020111419 933
015030150302102 202                                                                                1210012015103103   213811    020111419 933
015020150202202 201                                                                                1217051995122106   211451    020111419 835
015020150202202 202                                                                                1223081999118105   211961    020111419 835
015020150202202 203                                                                                1218042003114104   212401    020111419 835
015020150202202 204                                                                                1130072011106103   213391    020111419 835
015120151202202 201                                                                                1222092004113105   212571    020111419 970
015120151202202 202                                                                                1127062007110104   212901    020111419 970
015120151202202 203                                                                                1208112012105103   213551    020111419 970
015070150702302 201                                                                                1224071997120106   211711    020111419 859
015070150702302 202                                                                                1219042001116105   212161    020111419 859
015070150702302 203                                                                                1104082004113104   212561    020111419 859
015070150702302 204                                                                                1209092009108103   213171    020111419 859
015060150602302 201                                                                                1210072012105103   213511    0201114191051
016120161201102 201                                                                                1122112016101103   214031    010111419 966
016090160901102 201                                                                                1120052011106105   213371    0101114191043
016090160901102 202                                                                                22180620122     10121350100000101114191043
016090160901102 203                                                                                22180620122     10121350100000101114191043
016090160901102 204                                                                                1127102014103104   213781    0101114191043
016090160901102 205                                                                                1218072017100103   214111    0101114191043
016150161501102 201                                                                                1107072004113105   212551    010111419 937
016150161501102 202                                                                                1104112006111104   212831    010111419 937
016150161501102 203                                                                                1221062011106103   213381    010111419 937
016020160201102 201                                                                                1201072015102103   213871    0101114191046
016030160301204 401                                                                                1115012012106105   213451    010111419 946
016070160701202 201                                                                                1207122016101103   214041    0101114191060
016040160401202 201                                                                                1107052003114104   212411    010111419 955
016040160401202 202                                                                                1120102006111103   212821    010111419 955
016190161901202 201                                                                                1122052008109103   213011    010111419 881
016190161901202 202                                                                                1124112010107104   213311    010111419 881
016130161301202 201                                                                                1108062005112105   212661    010111419 885
016130161301202 202                                                                                1224082008109104   213041    010111419 885
016130161301202 203                                                                                1226062011106103   213381    010111419 885
016170161701202 201                                                                                1119121999118104   212001    010111419 847
016170161701202 202                                                                                1207062002115103   212301    010111419 847
016010160101302 201                                                                                1118051999118103   211931    010111419 868
016080160801302 201                                                                                1121052013104104   213611    0101114191015
016080160801302 202                                                                                1201072015102103   213871    0101114191015
016110161101302 201                                                                                1131102007110105   212941    010111419 948
016110161101302 202                                                                                1130072009108104   213151    010111419 948
016110161101302 203                                                                                1218062011106103   213381    010111419 948
016140161401302 201                                                                                1102062017100103   214101    0101114191028
016200162001302 201                                                                                1110052017100103   214091    0101114191078
016160161601306 601                                                                                1130102012105109   213541    0101114191063
016160161601306 602                                                                                1118122013104108   213681    0101114191063
016160161601306 603                                                                                1128072015102107   213871    0101114191063
017040170401102 201                                                                                1214022018100103   214181    010111419 964
017200172001102 201                                                                                1112021998120103   211781    010111419 829
017200172001102 202                                                                                1222122003114104   212481    010111419 829
017200172001102 203                                                                                1102082006111105   212801    010111419 829
